employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TX,San Antonio,60000,60000,60000
TRIAD NATIONAL SECURITY,"Triad National Security, LLC",1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,NM,Los Alamos,141918,141918,141918
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,PA,Philadelphia,86403,86403,86403
UCHICAGO ARGONNE,"UChicago Argonne, LLC",1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,IL,Lemont,60965,60965,60965
UNIVERSITY OF CALIFORNIA SAN DIEGO,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,CA,La Jolla,145188,145188,145188
UNIVERSITY OF ILLINOIS,University of Illinois,1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,IL,Urbana,96673,96673,96673
UNIVERSITY OF LOUISIANA AT LAFAYETTE,University of Louisiana at Lafayette,1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,LA,Lafayette,60965,60965,60965
UNIVERSITY OF MASSACHUSETTS BOSTON,University of Massachusetts Boston,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,MA,Boston,98509,98509,98509
UNIVERSITY OF MICHIGAN,University of Michigan,1,1,FY2026Q1,no,15-1221,Computer & Information Research Scientists,MI,Flint,64147,64147,64147
UNIVERSITY OF ROCHESTER,University of Rochester,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,NY,Rochester,60965,60965,60965
UT BATTELLE LLC OAK RIDGE NATIONAL LABORATORY,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)",1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TN,Oak Ridge,91447,91447,91447
UT SOUTHWESTERN MEDICAL CENTER,UT Southwestern Medical Center,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TX,Dallas,130000,130000,130000
VANDERBILT UNIVERSITY,Vanderbilt University,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TN,Nashville,75000,75000,75000
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSITY,Virginia Polytechnic Institute & State University,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,VA,Blacksburg,75000,75000,75000
WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,Wake Forest University Baptist Medical Center,1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,NC,Winston Salem,64896,64896,64896
WASHINGTON UNIVERSITY,Washington University,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,MO,ST LOUIS,98088,98088,98088
WILLSFLY TECHNOLOGIES,Willsfly Technologies Inc,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,WA,Spokane,128688,128688,128688
ZESTFINANCE,"ZestFinance, Inc.",1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,NJ,Secaucus,140000,140000,140000
