employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
CMK ACCOUNTANCY,CMK Accountancy Corp,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Monterey Park,64917.0,64917.0,64917.0
COASTAL CAROLINA UNIVERSITY,COASTAL CAROLINA UNIVERSITY,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,SC,Conway,74500.0,74500.0,74500.0
COFREIGHT,Cofreight Inc,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Buena Park,64917.0,64917.0,64917.0
COHNREZNICK ADVISORY,CohnReznick Advisory LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,IL,Westmont,61152.0,61152.0,61152.0
COMMERCIAL LENDING ADVISORS,Commercial Lending Advisors,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,Albany,59051.0,59051.0,59051.0
COMPREHENSIVE BUSINESS ACCOUNTING,"Comprehensive Business Accounting, Inc.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,GA,Norcross,60000.0,60000.0,60000.0
COWAY USA,COWAY USA INC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,LOS ANGELES,78000.0,78000.0,78000.0
CRETE PA HOLDCO,Crete PA HOLDCO LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,FL,Tampa,62000.0,62000.0,62000.0
CROWE LLP,"Crowe, LLP",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,San Francisco,88230.0,88230.0,88230.0
CRYSTAL WINDOW AND DOOR SYSTEMS,Crystal Window and Door Systems Ltd.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,Flushing,79040.0,79040.0,79040.0
CST INTERNATIONAL USA LIMITED,CST International (USA) Limited,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,New York,93000.0,93000.0,93000.0
CURTIS GINSBERG ARCHITECTS LLP,Curtis Ginsberg Architects LLP,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,New York,73070.0,73070.0,73070.0
D E SHAW CO L P,"D. E. Shaw & Co., L.P.",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,New York,125000.0,125000.0,125000.0
DAEKYO AMERICA,Daekyo America Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NJ,Fort Lee,71136.0,71136.0,71136.0
DALLAS FORT WORTH TECHNOLOGY,"Dallas/Fort Worth Technology, Inc.",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,TX,Richardson,65000.0,65000.0,65000.0
DALLAS INDEPENDENT SCHOOL DISTRICT,Dallas Independent School District,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,TX,Dallas,72723.0,72723.0,72723.0
DALLAS INTERNATIONAL SCHOOL,DALLAS INTERNATIONAL SCHOOL,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,DALLAS,65000.0,65000.0,65000.0
DATABANK HOLDINGS,"Databank Holdings, Ltd.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Coppell,66990.0,66990.0,66990.0
DAZONE,Dazone LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Ontario,62400.0,62400.0,62400.0
DC INTEGRATE,"DC Integrate, Inc.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,City of Industry,64917.0,64917.0,64917.0
DELTA ELECTRONICS AMERICAS,Delta Electronics (Americas) Ltd.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,FREMONT,76211.0,76211.0,76211.0
DEMONTE AND FALGOUST,"DeMonte and Falgoust, LLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,LA,New Orleans,51376.0,51376.0,51376.0
DENAGO EV CORPORATION,Denago EV Corporation,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Plano,70000.0,70000.0,70000.0
DERDERIAN KANN SEYFERTH SALUCCI P C,"Derderian, Kann, Seyferth & Salucci, P.C",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,MI,Troy,82500.0,82500.0,82500.0
DEXIAN,"Dexian, LLC",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,VA,McLean,75000.0,75000.0,75000.0
DIT CHICAGO,DIT Chicago Corp,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,IL,Elk Grove Village,61152.0,61152.0,61152.0
DO ONE TECHNOLOGIES,DO ONE TECHNOLOGIES INC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,Flushing,79997.0,79997.0,79997.0
DOYLE SCHULTZ BHATIA PLLC,"DOYLE, SCHULTZ & BHATIA PLLC",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,VA,Reston,90000.0,90000.0,90000.0
DYSTAR LIMITED PARTNERSHIP,DyStar Limited Partnership,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NC,Charlotte,60029.0,60029.0,60029.0
EARTHBOUND HOLDING,"Earthbound Holding, LLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Grapevine,60403.0,60403.0,60403.0
EMD SALES,"EMD Sales, Inc",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,MD,Baltimore,62400.0,62400.0,62400.0
EMORY UNIVERSITY,Emory University,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,GA,Decatur,80145.0,80145.0,80145.0
EQUATOR GLOBAL LOGISTICS,Equator Global Logistics Inc.,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Hacienda Heights,65000.0,65000.0,65000.0
EVERYMARKET,Everymarket Inc,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,MO,O Fallon,51730.0,51730.0,51730.0
EXCEL ABACUS ADVISORS,Excel Abacus Advisors Inc,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,MA,WELLESLEY,72800.0,72800.0,72800.0
EXCEL FOOD MART,"Excel Food Mart, Inc.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,OK,Oklahoma City,54080.0,54080.0,54080.0
EXLSERVICE COM,"ExlService.com, LLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,New York,75000.0,75000.0,75000.0
FINANZ,FINANZ INC.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,GA,LAWRENCEVILLE,57000.0,57000.0,57000.0
FLORIDA IMMIGRANT COALITION,FLORIDA IMMIGRANT COALITION,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,FL,Miami,60000.0,60000.0,60000.0
FOLIO3 SOFTWARE,FOLIO3 SOFTWARE INC.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,FONTANA,79999.0,79999.0,79999.0
FOTILE AMERICA,Fotile America LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NJ,Parsippany,76328.0,76328.0,76328.0
FREEDOM GS,Freedom GS Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,Woodside,75000.0,75000.0,75000.0
FUTU CLEARING,Futu Clearing Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Dallas,63000.0,63000.0,63000.0
GALLEROS ROBINSON CPA S LLP,GALLEROS ROBINSON CPA's LLP,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,New York,73100.0,73100.0,73100.0
GGC TRANS,GGC Trans Inc,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,AZ,Phoenix,60000.0,60000.0,60000.0
GLLV CPA,GLLV CPA LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,GA,Atlanta,75000.0,75000.0,75000.0
GOD GRACE LOGISTICS,"God Grace Logistics, Inc.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Rancho Cucamonga,62400.0,62400.0,62400.0
GOLDMAN SACHS CO,GOLDMAN SACHS & CO. LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,TX,Dallas,88000.0,88000.0,88000.0
GOODIX TECHNOLOGY,GOODIX TECHNOLOGY INC.,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,San Diego,74540.0,74540.0,74540.0
GOODONE ENTERPRISE,"Goodone Enterprise, LLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Pinehurst,60029.0,60029.0,60029.0
GREEN ELECTRONICS SOLUTIONS,Green Electronics Solutions Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,IL,South Holland,61152.0,61152.0,61152.0
GUAM INDUSTRIAL SERVICES,"GUAM INDUSTRIAL SERVICES, INC.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,GU,TAMUNING,35000.0,35000.0,35000.0
GVN,"GVN, Inc.",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,GU,Tamuning,35714.0,35714.0,35714.0
HAILIANG COPPER TEXAS,Hailiang Copper Texas Inc.,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,TX,Sealy,68000.0,68000.0,68000.0
HAND HOSPITALITY,Hand Hospitality LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,New York,73070.0,73070.0,73070.0
HAULIC FOOD,Haulic Food Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Milpitas,81182.0,81182.0,81182.0
HAWAIIAN KING CANDIES,HAWAIIAN KING CANDIES LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,HI,Honolulu,54080.0,54080.0,54080.0
HOMIX REALTY,Homix Realty Inc,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,Flushing,80000.0,80000.0,80000.0
HONGYUAN TRUCKING,"Hongyuan Trucking, Inc.",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Ontario,60611.0,60611.0,60611.0
HONHUI GUAM,Honhui Guam LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,GU,Tamuning,35714.0,35714.0,35714.0
HTL INTERNATIONAL,HTL International LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Sugar Land,70000.0,70000.0,70000.0
HUAIJI ENGINE VALVE USA,Huaiji Engine Valve USA Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NJ,Weehawken,90000.0,90000.0,90000.0
HYDE AND KUO CPA S,Hyde and Kuo CPA's Inc,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Culver City,65000.0,65000.0,65000.0
HYUNDAI WIA MACHINE AMERICA,HYUNDAI WIA MACHINE AMERICA,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NJ,CARLSTADT,77709.0,77709.0,77709.0
IKRUSHER,iKrusher Inc,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Arcadia,72000.0,72000.0,72000.0
INTERNATIONAL COUNCIL ON SYSTEMS ENGINEERING INCOSE,International Council on Systems Engineering (INCOSE),1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Torrance,80000.0,80000.0,80000.0
INTERVAL PARTNERS LP,"INTERVAL PARTNERS, LP",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,New York,95000.0,95000.0,95000.0
INTRAPACK INDUSTRIES,IntraPack Industries,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,TX,Dallas,72000.0,72000.0,72000.0
IRUSHER,Irusher Inc,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Arcadia,72000.0,72000.0,72000.0
J M TRIPPON CO P C,J.M.Trippon& Co. P.C.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Houston,80000.0,80000.0,80000.0
JFH GROUP INTERNATIONAL,JFH Group International Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Chino,64500.0,64500.0,64500.0
JL UNITED REALTY,JL UNITED REALTY LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,TX,Katy,60029.0,60029.0,60029.0
