employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
SYNOPSYS,"Synopsys, Inc.",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,PA,Canonsburg,66123,69410,72696
TEGRIT SOFTWARE VENTURES,"TEGRIT SOFTWARE VENTURES, INC.",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,MILPITAS; SAN JOSE,112500,112500,112500
UNIGO,"UNIGO, INC",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,AZ,Mesa,83200,83200,83200
V WORK INFOTECH SOLUTIONS,V-Work Infotech Solutions Inc.,2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,GA,ATLANTA,80000,80000,80000
XIT SOLUTIONS,"XIT Solutions, Inc.",2,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Irving,72550,471575,870600
YOOZ,"Yooz, Inc.",2,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Coppell,76215,76233,76251
ACCELERATED TECHNOLOGIES,Accelerated Technologies Inc.,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,NJ,Plainsboro,86000,86000,86000
AGREEYA SOLUTIONS,"AGREEYA SOLUTIONS, INC.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Austin,68702,68702,68702
AKASOL,AKASOL INC.,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,FL,Tampa,90800,90800,90800
ALFA MUTUAL INSURANCE COMPANY,Alfa Mutual Insurance Company,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Waco,57803,57803,57803
ALTEN TECHNOLOGY USA,"Alten Technology USA, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MI,Auburn Hills,68141,68141,68141
AMAZON DEVELOPMENT CENTER U S,"Amazon Development Center U.S., Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MA,Boston,86700,86700,86700
ANB SYSTEMS,ANB Systems LLC,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Houston,79900,79900,79900
ANCILE,Ancile Inc,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Denton,72550,72550,72550
ANU SOFTWARE CONSULTANTS,"Anu Software Consultants, Inc.",1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,VA,Richmond,75400,75400,75400
ANYSCALE,"Anyscale, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Palo Alto,114000,114000,114000
APPS TECHNOLOGY,APPS Technology LLC,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Coppell,72550,72550,72550
APSS FUTURISTICS,"APSS Futuristics, LLC",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MA,North Quincy,78686,78686,78686
ARCADIS U S,"Arcadis U.S., Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,San Jose,95826,95826,95826
ARTIFICIAL INTELLIGENCE TECHNOLOGIES,ARTIFICIAL INTELLIGENCE TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,RICHARDSON,72550,72550,72550
ASTIR IT SOLUTIONS,"ASTIR IT SOLUTIONS, INC",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Dallas,73000,73000,73000
ASTIR SERVICES,ASTIR SERVICES LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,NJ,Mt Laurel Township,70000,70000,70000
ASTUTE SOLUTIONS,Astute Solutions LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Folsom,70990,70990,70990
AUTOMATION TECHNOLOGIES,AUTOMATION TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,SAN JOSE,94162,94162,94162
AVENTERPRISE,"AVEnterprise, Inc",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,DC,"Washington, D.C",84500,84500,84500
AVIS BUDGET CAR RENTAL,"Avis Budget Car Rental, LLC",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,NJ,Parsippany,80000,80000,80000
BAANYAN SOFTWARE SERVICES,"Baanyan Software Services, Inc.",1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,VA,Norfolk,76000,76000,76000
BCVS,BCVS,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,IN,Batesville,72800,72800,72800
BINARYQUEST,BINARYQUEST INC.,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CT,BLOOMFIELD,72800,72800,72800
BLOCKCHAIN TECHNOLOGIES,BLOCKCHAIN TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,COSTA MESA,61110,61110,61110
BLUMEFOX TECHNOLOGIES,Blumefox Technologies LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Sunnyvale,94200,94200,94200
BRUEGMANN USA,"Bruegmann USA, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Houston,62754,62754,62754
BTI SOLUTIONS,"BTI Solutions, Inc",1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,TX,Plano,72550,72550,72550
BYTEDANCE,BYTEDANCE INC.,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,San Jose,105000,105000,105000
CALIBI CONSULTING,Calibi Consulting LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,FL,ST PETERSBURG,68640,68640,68640
CAT TECHNOLOGY,CAT TECHNOLOGY INC.,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,NY,NEW YORK,80000,80000,80000
CENTIFIC GLOBAL SOLUTIONS,"Centific Global Solutions, Inc.",1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,WA,Redmond,90000,90000,90000
CEPHEID,CEPHEID,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Sunnyvale,118455,118455,118455
CHAGS HEALTH INFORMATION TECHNOLOGY,"Chags Health Information Technology, LLC",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,MD,Columbia,80000,80000,80000
CINERGY TECHNOLOGY,"Cinergy Technology, Inc",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Santa Clara,94640,94640,94640
CITY NATIONAL BANK,City National Bank,1,1,FY2026Q1,no,15-1253,Software Quality Assurance Analysts and Testers,CA,Cypress,111408,111408,111408
CLASSIC COMPUTERS CORPORATION,CLASSIC COMPUTERS CORPORATION,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,NJ,Piscataway,78700,78700,78700
CLIFYX,ClifyX Inc.,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,AL,Hoover,83200,83200,83200
CLOUD HYBRID TECHNOLOGIES,CLOUD HYBRID TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,TX,PLANO,72550,72550,72550
COGNYSYNC TECHNOLOGIES,COGNYSYNC TECHNOLOGIES LLC,1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,CO,Greenwood Village,83200,83200,83200
COMPUTER ENTERPRISES,"Computer Enterprises, Inc.",1,1,FY2025Q4,no,15-1253,Software Quality Assurance Analysts and Testers,PA,Philadelphia,85000,85000,85000
