employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
BILLION TOWER INT L,Billion Tower Int'l LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York City,62000,62000,62000
BINEX LINE,Binex Line Corp.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,South San Francisco,69326,69326,69326
BIOTHERAPIES,Biotherapies LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,UT,Ogden,39458,39458,39458
BLACKROCK INVESTMENT MANAGEMENT,"BlackRock Investment Management, LLC",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Princeton,80000,80000,80000
BLOOMING REALM,Blooming Realm LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,Elmhurst,61797,61797,61797
BLUE NILE,"Blue Nile, Inc.",1,1,FY2025Q4,no,13-1161,Search Marketing Strategists,WA,Seattle,62670,62670,62670
BOSTON MUSIC PROJECT BMP,Boston Music Project (BMP),1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,MA,Boston,63315,63315,63315
BOSTON MUSICAL INSTRUMENTS,"Boston Musical Instruments, LLC",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,MA,Boston,60570,60570,60570
BOZZUTO ASSOCIATES,"BOZZUTO & ASSOCIATES, INC.",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,MD,Greenbelt,103892,103892,103892
BROWN UNIVERSITY,Brown University,1,1,FY2026Q1,no,13-1161,Search Marketing Strategists,RI,Providence,92881,92881,92881
BV USA,BV USA LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,IL,Elk Grove Village,62000,62000,62000
CAC AUTO GROUP,CAC Auto Group LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,KY,Lexington,45000,45000,45000
CAINIAO SUPPLY CHAIN U S,Cainiao Supply Chain U.S. Inc.,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Fontana,47445,47445,47445
CASSIDY,Cassidy Inc.,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,80000,80000,80000
CHICAGOLAND CHAMBER OF COMMERCE,Chicagoland Chamber of Commerce,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,IL,Chicago,49800,49800,49800
CHINESE FOR AFFIRMATIVE ACTION,Chinese for Affirmative Action,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Francisco,71323,71323,71323
CHUNGSOO HA INSURANCE AND FINANCIAL SERVICES,"Chungsoo Ha Insurance and Financial Services, Inc",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CO,Aurora,66560,66560,66560
CLEAN WAVE SOLUTION,CLEAN WAVE SOLUTION,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Huntington Beach,59988,59988,59988
COGNITIV,Cognitiv Corp,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,75000,75000,75000
CONSCIOUS CAPITAL GROWTH,Conscious Capital Growth LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,AZ,Scottsdale,43014,43014,43014
CONVENTUS,Conventus LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Francisco,67808,67808,67808
COOINGS,Cooings LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Irvine,52707,52707,52707
COZZIA USA,"Cozzia USA, LLC.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Covina,52707,52707,52707
CROUD,Croud Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,75000,75000,75000
CRYPTO MINER SERVICE,Crypto Miner Service Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,DE,Newark,54000,54000,54000
DAEKYO AMERICA,Daekyo America Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Fort Lee,61797,61797,61797
DASTA INCORPORATED D B A DUB,DASTA Incorporated d/b/a/ dub,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,70000,70000,70000
DC GROUP INVESTMENT,DC Group Investment LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,VA,Arlington,58000,58000,58000
DESEE FOOD,Desee Food LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Jersey City,62000,62000,62000
DHARAJ BROS,"DHARAJ BROS, LLC",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,PA,PITTSBURGH,52000,52000,52000
DONGBU TOUR TRAVEL,Dongbu Tour & Travel Inc.,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Palisades Park,61797,61797,61797
DOUBLEVERIFY,DoubleVerify Inc.,1,1,FY2025Q4,no,13-1161,Search Marketing Strategists,NY,New York,95000,95000,95000
DTF ONESTOP,DTF ONESTOP LLC,1,1,FY2026Q1,no,13-1161,Search Marketing Strategists,CA,Eastvale,49920,49920,49920
DXRACER USA,DXRACER USA LLC,1,1,FY2025Q4,no,13-1161,Search Marketing Strategists,MI,WHITMORE LAKE,51769,51769,51769
DYNACOM CORPORATION,DYNACOM CORPORATION,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Hayward,79000,79000,79000
ECOBRITE SERVICES,"Ecobrite Services, LLC",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,UT,Lehi,45906,45906,45906
