employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
CHEN KUANG USA,Chen Kuang USA Inc,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,Ozone Park,87838,87838,87838
CHERVON NORTH AMERICA,"Chervon North America, Inc.",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,IL,Naperville,84290,84290,84290
CHOWBUS,"Chowbus, Inc.",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,Long Island City,95000,95000,95000
CICC US SECURITIES,CICC US Securities Inc.,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,110000,110000,110000
CITIGROUP GLOBAL MARKETS,Citigroup Global Markets Inc.,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,IL,Chicago,125000,125000,125000
CLASS OVER,Class Over Inc.,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,100000,100000,100000
CNY BUSINESS SOLUTIONS,CNY Business Solutions LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,87838,87838,87838
COHEN COMPANY,"Cohen & Company, LLC",1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,120000,120000,120000
COLUMBIA PARTNERS NEW YORK,"Columbia Partners New York, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,87838,87838,87838
COSTAR IMPORTS,Costar Imports Inc.,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,CA,Burlingame,100180,100180,100180
CREST BEAUTY WORLD,Crest Beauty World Inc,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,Chino,72218,72218,72218
CRESTVIEW ADVISORS,"Crestview Advisors, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,120000,120000,120000
CYPRUS POINT INVESTMENT MANAGEMENT,Cyprus Point Investment Management,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,CA,Mill Valley,150000,150000,150000
D E SHAW CO L P,"D. E. Shaw & Co., L.P.",1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,NY,New York,350000,350000,350000
